comuni,CODISTAT_comune,popolazione,societa_di_regolamentazione_dei_rifiuti,tipo_ubicazione,altri_rifiuti_differenziati,ingombranti,cartone,frazione_organica_umida,legno,metallo,plastica,rifiuti_apparecchiature_elettriche_ed_elettroniche,raccolta_selettiva,tessili,vetro,costruzione_e_demolizione,pulizia_stradale,riciclo_annuale_tonnellate,rifiuti_totali_annuale_tonnellate,raccolta_comunale,extra_discarica_municipale
Fondachelli-Fantina,083023,943,MESSINA PROVINCIA,INTERNO,22,12,18,26,5,0,2,1,0,0,18,0,0,135,240,240,0
Forza d'Agrò,083024,848,MESSINA AREA METROPOLITANA,COSTIERO,37,9,37,178,0,0,0,0,0,0,47,0,0,105,412,412,0
Francavilla di Sicilia,083025,3591,MESSINA PROVINCIA,INTERNO,174,10,163,375,26,46,1,6,2,25,103,0,0,335,1266,1274,9
Francofonte,089010,11888,SIRACUSA PROVINCIA,INTERNO,10,23,280,822,100,0,230,3,1,18,255,0,0,2185,3928,3929,2
Frazzanò,083026,594,MESSINA PROVINCIA,INTERNO,0,4,11,36,0,0,10,0,0,0,30,0,0,59,150,150,0
Furci Siculo,083027,3221,MESSINA AREA METROPOLITANA,COSTIERO,124,92,134,380,30,0,0,0,2,0,100,0,0,324,1186,1193,6
Furnari,083028,3851,MESSINA AREA METROPOLITANA,COSTIERO,244,145,275,925,51,0,0,4,1,4,129,0,0,435,2213,2244,31
Gaggi,083029,3116,MESSINA AREA METROPOLITANA,INTERNO,64,8,84,278,0,0,1,2,1,3,87,0,0,472,998,998,0
Gagliano Castelferrato,086010,3344,ENNA PROVINCIA,INTERNO,0,20,117,254,7,0,86,7,0,0,98,0,0,371,960,960,0
Galati Mamertino,083030,2328,MESSINA PROVINCIA,INTERNO,0,14,76,226,1,0,69,6,0,6,115,0,0,124,639,639,0
Gallodoro,083031,336,MESSINA AREA METROPOLITANA,INTERNO,12,16,12,30,0,0,0,0,0,0,13,0,0,52,134,134,0
Gangi,082036,6179,PALERMO PROVINCIA EST,INTERNO,85,14,244,641,43,102,79,37,1,0,177,0,0,596,2018,2018,0
Gela,085007,71937,CALTANISSETTA PROVINCIA SUD,COSTIERO,2347,172,2848,7709,15,0,0,34,10,39,1420,0,287,11704,26585,26586,1
Geraci Siculo,082037,1720,PALERMO PROVINCIA EST,INTERNO,10,0,46,167,0,0,15,0,0,0,37,0,0,177,452,452,0
Giardinello,082038,2293,PALERMO AREA METROPOLITANA,INTERNO,0,2,105,235,3,0,71,0,1,14,73,0,0,86,591,591,0
Giardini-Naxos,083032,9148,MESSINA AREA METROPOLITANA,COSTIERO,0,99,456,1212,0,0,290,5,0,0,427,0,0,3687,6177,6177,0
Giarratana,088004,2803,RAGUSA PROVINCIA,INTERNO,2,36,149,380,85,9,82,5,0,2,77,0,0,246,1071,1080,9
Giarre,087017,26685,CATANIA PROVINCIA NORD,INTERNO,22,179,904,2489,141,0,714,55,3,0,592,96,0,6795,11990,11991,1
Gibellina,081010,3801,TRAPANI PROVINCIA SUD,INTERNO,0,12,166,700,18,7,103,7,1,12,124,0,0,430,1580,1588,8
Gioiosa Marea,083033,6737,MESSINA PROVINCIA,COSTIERO,232,72,264,1027,8,4,0,0,2,16,229,0,15,980,2846,2847,1
Giuliana,082039,1731,PALERMO PROVINCIA OVEST,INTERNO,208,6,0,209,0,5,1,4,0,0,3,0,0,63,498,498,0
Godrano,082040,1063,PALERMO PROVINCIA OVEST,INTERNO,0,4,35,123,0,0,31,0,0,0,38,0,0,117,347,347,0
Grammichele,087018,12566,CATANIA PROVINCIA SUD,INTERNO,485,263,474,1856,12,34,28,141,2,21,340,44,122,988,4810,4826,17
Graniti,083034,1449,MESSINA PROVINCIA,INTERNO,19,7,19,0,0,0,4,1,0,0,28,0,0,433,512,512,0
Gratteri,082041,873,PALERMO PROVINCIA EST,INTERNO,0,7,17,90,0,2,17,1,0,4,32,0,0,76,245,248,3
Gravina di Catania,087019,25156,CATANIA AREA METROPOLITANA,INTERNO,801,0,1009,2631,102,0,1,11,3,36,598,1323,172,3819,10506,10506,0
Grotte,084018,5298,AGRIGENTO PROVINCIA EST,INTERNO,188,82,205,621,0,0,0,8,4,44,180,51,50,366,1799,1799,0
Gualtieri Sicaminò,083035,1591,MESSINA AREA METROPOLITANA,INTERNO,43,17,45,215,16,1,1,27,0,0,58,0,0,116,539,542,4
Isnello,082042,1334,PALERMO PROVINCIA EST,INTERNO,0,6,34,151,0,0,26,7,1,3,56,0,0,110,393,394,1
Isola delle Femmine,082043,7084,PALERMO AREA METROPOLITANA,COSTIERO,0,18,284,707,39,0,158,10,0,10,325,0,50,1871,3472,3473,1
Ispica,088005,16187,RAGUSA PROVINCIA,COSTIERO,595,302,850,1827,257,58,46,163,3,29,583,426,36,2502,7676,7686,11
Itala,083036,1495,MESSINA AREA METROPOLITANA,COSTIERO,52,17,63,159,0,0,0,6,0,0,55,0,0,231,584,586,1
Joppolo Giancaxio,084019,1084,AGRIGENTO PROVINCIA EST,INTERNO,23,0,35,173,0,2,9,2,0,2,33,0,0,106,385,385,0
Lampedusa e Linosa,084020,6462,AGRIGENTO PROVINCIA EST,ISOLE,28,658,509,543,12,20,415,74,0,0,754,0,0,2628,5639,5639,0
Lascari,082044,3674,PALERMO PROVINCIA EST,COSTIERO,0,92,194,681,0,0,78,0,2,13,334,0,0,521,1914,1918,4
Leni,083037,681,ISOLE EOLIE,ISOLE,0,3,15,0,0,0,13,10,0,0,46,0,0,170,258,258,0
Lentini,089011,21926,SIRACUSA PROVINCIA,INTERNO,481,32,473,1296,214,0,24,32,1,1,251,95,0,5098,7998,8509,510
Leonforte,086011,12513,ENNA PROVINCIA,INTERNO,0,30,426,1167,71,25,281,50,0,6,532,0,0,1194,3783,3785,2
Lercara Friddi,082045,6329,PALERMO PROVINCIA OVEST,INTERNO,0,17,323,842,0,0,269,15,2,41,192,0,57,578,2336,2336,0
Letojanni,083038,2808,MESSINA AREA METROPOLITANA,COSTIERO,117,23,134,537,3,0,0,0,0,0,192,0,0,923,1930,1931,1
Librizzi,083039,1584,MESSINA PROVINCIA,INTERNO,44,13,55,143,3,0,3,3,0,0,61,0,0,168,493,494,2
Licata,084021,34619,AGRIGENTO PROVINCIA EST,COSTIERO,301,184,1135,3575,0,21,504,0,3,71,733,0,210,9779,16519,16519,0
Licodia Eubea,087020,2762,CATANIA PROVINCIA SUD,INTERNO,86,14,75,410,0,0,0,5,1,6,73,0,34,174,877,877,0
Limina,083040,738,MESSINA AREA METROPOLITANA,INTERNO,0,7,16,4,0,0,18,0,0,0,19,0,0,130,194,194,0
